ECOCYC	Fig6_neg_replicate1	Fig6_neg_replicate2	Fig6_pos_replicate1	Fig6_pos_replicate2
G0-16718	0	0	0	0
G0-16720	0	0	0	0
G7686	1.34093E-06	4.84052E-05	1.84352E-06	1.76077E-05
G7685	1.48333E-06	2.83477E-05	3.27744E-06	2.72203E-05
G7688	4.34965E-05	6.85571E-05	2.21936E-05	9.29308E-05
G7687	0	5.7299E-05	0	3.15116E-05
EG11679	2.97326E-05	4.82122E-05	2.88658E-05	5.15856E-05
EG11112	3.19426E-05	1.35656E-05	3.23263E-05	4.35649E-05
G6670	7.31629E-06	8.51081E-06	3.93593E-06	5.44822E-06
G6669	7.78684E-06	8.81855E-06	3.86584E-06	2.96374E-06
G6671	2.8903E-05	4.79297E-05	4.35204E-05	5.34321E-05
EG12853	4.09655E-06	2.08769E-06	0	4.20979E-06
G7363	4.02328E-05	3.12153E-05	3.13792E-05	4.81475E-05
G7362	1.65669E-05	3.56638E-05	2.88631E-05	2.90271E-05
G6384	1.59323E-06	7.86574E-05	0	4.63895E-05
EG11647	0.000132059	0.000262892	0.000200667	0.000191214
EG10275	0.000493174	0.000469274	0.000507602	0.000514087
EG10276	0.000211912	0.000210166	0.000212771	0.000267716
EG10217	0.000320405	0.000332727	0.000321913	0.000320832
EG10022	0.005571562	0.003868237	0.005202515	0.003987825
EG10023	0.00378241	0.003209464	0.003685069	0.003186981
EG10024	0.001560412	0.001447362	0.001560851	0.001377582
EG10025	0.001010076	0.001120735	0.001013784	0.001162138
EG10026	0.000766593	0.000530094	0.00072657	0.000506604
EG10027	0.000471107	0.000264113	0.000505421	0.000296867
EG11325	0.000186385	0.000145934	0.000152332	0.000162818
EG12316	0.000527305	0.000527228	0.000523184	0.000528411
EG11095	1.7197E-05	3.56038E-05	2.2165E-05	2.33178E-05
EG50003	0.004495811	0.003412091	0.004695536	0.004243378
EG10247	3.17423E-05	2.51016E-05	2.70867E-05	3.18699E-05
EG12221	4.04262E-05	3.97585E-05	4.09525E-05	3.40125E-05
EG11703	0.000203624	0.00020692	0.000183309	0.00025065
EG11704	0.000174358	0.000177781	0.000188381	0.000180493
EG10014	1.20528E-06	3.80488E-05	2.76173E-06	5.50491E-05
EG10266	0	3.67059E-06	1.48532E-06	4.31764E-06
EG10267	1.88032E-06	9.24031E-06	9.69406E-07	1.12718E-05
EG12116	2.25247E-05	2.95177E-05	1.32716E-05	2.97609E-05
G6396	2.22415E-05	2.47948E-05	1.43334E-05	2.38087E-05
EG11448	0.000924956	0.000353669	0.000750251	0.000220586
EG11942	0.000131933	5.69959E-05	0.000125873	3.72282E-05
EG10029	2.15367E-05	2.94345E-05	2.30141E-05	3.35334E-05
EG10030	2.03936E-05	4.71929E-05	3.3044E-05	5.06114E-05
EG11692	2.28929E-05	2.52579E-05	2.09282E-05	2.42534E-05
EG11724	3.1168E-05	8.69646E-05	3.69582E-05	0.000108367
EG11691	3.74857E-06	7.95982E-06	1.61049E-06	6.95536E-06
EG10031	0.003388277	0.003580041	0.003554416	0.004372051
G6775	0.000841481	0.000569156	0.000806836	0.000568725
EG11501	1.21357E-05	1.78043E-05	1.66843E-05	1.54316E-05
EG12462	6.23361E-07	3.57389E-06	3.21376E-07	4.27062E-06
EG11966	0	4.1836E-06	1.69292E-06	3.74941E-06
EG10032	0.000102156	0.000228178	0.000178667	0.000302315
EG12409	1.89558E-06	5.36685E-06	1.73738E-06	3.60738E-06
G7595	8.49959E-06	5.10009E-05	1.5549E-05	3.0524E-05
EG11101	6.95047E-06	2.32452E-05	2.32917E-05	2.75288E-05
G6137	5.97462E-06	1.37016E-05	3.69628E-06	1.22796E-05
EG12340	3.58477E-06	2.63883E-05	8.21396E-07	2.0466E-05
EG12766	4.96462E-06	1.68672E-05	1.36508E-05	2.83437E-05
EG12769	4.37137E-06	4.45549E-06	0	1.04818E-05
EG12770	0	3.30421E-06	1.06965E-06	0
G7635	0	4.02513E-06	5.4293E-07	9.01846E-07
G7636	5.51625E-07	5.62241E-06	0	3.77916E-06
G7630	5.61186E-05	5.37877E-05	3.07902E-05	5.37901E-05
G7634	0	5.52018E-06	7.4459E-07	8.03931E-06
G7632	1.75961E-05	8.96739E-06	9.07175E-07	4.52064E-06
G7633	1.03738E-06	2.1147E-05	2.13931E-06	3.55354E-06
EG10033	0.000949226	0.00057538	0.00084096	0.000558412
G0-10751	0	1.2959E-05	0	8.71051E-06
G0-10752	0	0	0	0
EG11384	0.008694005	0.003597699	0.009132941	0.003805597
EG11385	0.000177357	9.33029E-05	0.000161731	0.000125885
EG11436	0.000113661	0.000113035	0.00010202	9.73357E-05
EG11811	4.87302E-05	4.54202E-05	6.61133E-05	4.3049E-05
G7165	0	5.37486E-05	0	3.79044E-05
G7184	4.72495E-05	9.46601E-05	4.87193E-05	5.92286E-05
G7242	8.81852E-05	0.000106778	8.71107E-05	9.05078E-05
