,genes_name,genes_id,genes_href
0,yahG,G6186,https://biocyc.org/gene?orgid=ECOLI&id=G6186
1,cheA,EG10146,https://biocyc.org/gene?orgid=ECOLI&id=EG10146
2,hyfI,G7306,https://biocyc.org/gene?orgid=ECOLI&id=G7306
3,ymdA,G6549,https://biocyc.org/gene?orgid=ECOLI&id=G6549
4,eutG,G7283,https://biocyc.org/gene?orgid=ECOLI&id=G7283
5,epmC,G7201,https://biocyc.org/gene?orgid=ECOLI&id=G7201
6,erpA,EG12332,https://biocyc.org/gene?orgid=ECOLI&id=EG12332
7,ybfP,G6374,https://biocyc.org/gene?orgid=ECOLI&id=G6374
8,caiE,EG12608,https://biocyc.org/gene?orgid=ECOLI&id=EG12608
9,citX,G6340,https://biocyc.org/gene?orgid=ECOLI&id=G6340
10,napG,EG12064,https://biocyc.org/gene?orgid=ECOLI&id=EG12064
11,yafL,G6111,https://biocyc.org/gene?orgid=ECOLI&id=G6111
12,eutL,G7271,https://biocyc.org/gene?orgid=ECOLI&id=G7271
13,map,EG10570,https://biocyc.org/gene?orgid=ECOLI&id=EG10570
14,fdoH,EG11857,https://biocyc.org/gene?orgid=ECOLI&id=EG11857
15,puuB,EG11822,https://biocyc.org/gene?orgid=ECOLI&id=EG11822
16,asompR,G0-17123,https://biocyc.org/gene?orgid=ECOLI&id=G0-17123
17,ldhA,G592,https://biocyc.org/gene?orgid=ECOLI&id=G592
18,narP,EG11527,https://biocyc.org/gene?orgid=ECOLI&id=EG11527
19,evgL,G0-17027,https://biocyc.org/gene?orgid=ECOLI&id=G0-17027
20,puuE,G6646,https://biocyc.org/gene?orgid=ECOLI&id=G6646
21,hycD,EG10477,https://biocyc.org/gene?orgid=ECOLI&id=EG10477
22,narI,EG10640,https://biocyc.org/gene?orgid=ECOLI&id=EG10640
23,yqiD,G0-16750,https://biocyc.org/gene?orgid=ECOLI&id=G0-16750
24,tauC,G6219,https://biocyc.org/gene?orgid=ECOLI&id=G6219
25,ttdA,EG11168,https://biocyc.org/gene?orgid=ECOLI&id=EG11168
26,glpC,EG10393,https://biocyc.org/gene?orgid=ECOLI&id=EG10393
27,ymgK,G0-16733,https://biocyc.org/gene?orgid=ECOLI&id=G0-16733
28,potE,EG10753,https://biocyc.org/gene?orgid=ECOLI&id=EG10753
29,hycA,EG10474,https://biocyc.org/gene?orgid=ECOLI&id=EG10474
