,site_name,site_id,site_type,region,strand,transcript_name,transcript_id
0,REP37b,REP37B,Repeat-Regions,"(431033, 431066)",-,,
1,ArgP DNA-binding-site regulating asd,TU0-13935,DNA-Binding-Sites,,-,asd,TU0-13935
2,Lrp DNA-binding-site (BS0-10377),javascript:void(0);,DNA-Binding-Sites,,,,
3,REP134,REP134,Repeat-Regions,"(1868893, 1868931)",-,,
4,SlyA DNA-binding-site 74.5 bases upstream of paaAp,TU5,DNA-Binding-Sites,"(1453785, 1453797)",+,paaABCDEFGHIJK,TU5
5,ArcA-Pasp54 DNA-binding-site (BS0-9468),javascript:void(0);,DNA-Binding-Sites,"(4348734, 4348749)",,,
6,REP352e,REP352E,Repeat-Regions,"(4614460, 4614493)",-,,
7,H-NS DNA-binding-site 83 bases upstream of rrsBp,TU0-45275,DNA-Binding-Sites,"(4166277, 4166292)",+,rrsB-gltT-rrlB-rrfB; rrsB-gltT-rrlB-rrfB,TU0-45275; TU0-1182
8,Nac DNA-binding-site (BS0-9900),javascript:void(0);,DNA-Binding-Sites,"(3373654, 3373671)",,,
9,REP104b,REP104B,Repeat-Regions,"(1180417, 1180450)",-,,
10,HipAB DNA-binding-site 10.5 bases downstream of hipBp,TU00284,DNA-Binding-Sites,"(1592463, 1592483)",-,hipBA,TU00284
11,NarL-Pasp59 DNA-binding-site 70 bases upstream of nrfAp,TU00199,DNA-Binding-Sites,"(4287598, 4287605)",+,nrfABCDEFG,TU00199
12,REP339a,REP339A,Repeat-Regions,"(4470382, 4470415)",+,,
13,CRP-cyclic-AMP DNA-binding transcriptional dual regulator DNA-binding-site 41.5 bases upstream of idnDp,TU0-4682,DNA-Binding-Sites,"(4494466, 4494488)",-,idnDOTR; idnK,TU0-4682; TU0-4681
14,PutA DNA-binding-site 54.5 bases upstream of putPp1,TU103,DNA-Binding-Sites,"(1079111, 1079117)",+,putP,TU103
15,REP32a,REP32A,Repeat-Regions,"(377336, 377372)",+,,
16,DnaA-ATP DNA-binding-site 101 bases upstream of polAp,TU661,DNA-Binding-Sites,"(4046835, 4046844)",+,polA,TU661
17,MntR DNA-binding-site 0.5 bases upstream of rybAp,TU0-42460,DNA-Binding-Sites,"(853054, 853076)",-,rybA-mntS,TU0-42460
18,REP325a,REP325A,Repeat-Regions,"(4325803, 4325838)",-,,
19,Lrp DNA-binding-site (BS0-10361),javascript:void(0);,DNA-Binding-Sites,,,,
20,YhaJ DNA-binding-site regulating ybiJ,TU0-13052,DNA-Binding-Sites,,-,ybiJ,TU0-13052
21,REP321a,REP321A,Repeat-Regions,"(4295836, 4295872)",+,,
22,ArcA-Pasp54 DNA-binding-site (BS0-9452),javascript:void(0);,DNA-Binding-Sites,"(2427910, 2427925)",,,
23,IHF DNA-binding-site 157 bases upstream of ihfBp2,TU0-45280,DNA-Binding-Sites,"(963586, 963599)",+,ihfB; ihfB,TU0-45280; TU00175
24,REPv78b,REPV78B,Repeat-Regions,"(845702, 845730)",-,,
25,Nac DNA-binding-site (BS0-9884),javascript:void(0);,DNA-Binding-Sites,"(1700942, 1700959)",,,
26,Fnr DNA-binding-site regulating pepTp,TU0-8490,DNA-Binding-Sites,,+,pepT,TU0-8490
27,REP316a,REP316A,Repeat-Regions,"(4249322, 4249355)",-,,
28,Lrp-leu DNA-binding-site 127 bases upstream of livJp,TU00183,DNA-Binding-Sites,"(3599883, 3599895)",-,livJ,TU00183
29,GadRcs DNA-binding-site regulating cadBp,TU00467,DNA-Binding-Sites,,-,cadBA,TU00467
30,REPv37a,REPV37A,Repeat-Regions,"(430969, 430997)",+,,
31,Cra DNA-binding-site 185.5 bases upstream of pdhRp2,TU0-45222,DNA-Binding-Sites,"(121840, 121858)",+,pdhR-aceEF-lpdA; pdhR-aceEF-lpdA; aroP; aroP,TU0-45222; TU00522; TU641; TU00012
32,DnaA-ATP DNA-binding-site 57 bases upstream of dnaAp2,TU593,DNA-Binding-Sites,"(3883935, 3883944)",-,dnaAN-recF; dnaAN-recF,TU593; TU00259
33,REP309a,REP309A,Repeat-Regions,"(4153348, 4153383)",-,,
34,Fnr DNA-binding-site regulating ycaC,TU-8382,DNA-Binding-Sites,,-,ycaC,TU-8382
35,Lrp DNA-binding-site (BS0-10345),javascript:void(0);,DNA-Binding-Sites,,,,
36,REPv297b,REPV297B,Repeat-Regions,"(4080090, 4080118)",-,,
37,CRP-cyclic-AMP DNA-binding transcriptional dual regulator DNA-binding-site 160.5 bases upstream of csrCp,TU0-4822,DNA-Binding-Sites,"(4050868, 4050884)",+,csrC,TU0-4822
38,ArgR-arg DNA-binding-site (BS0-9176),javascript:void(0);,DNA-Binding-Sites,"(45774, 45813)",,,
39,REP299f,REP299F,Repeat-Regions,"(4094542, 4094577)",+,,
40,CueR-Cu DNA-binding-site (BS0-10779),javascript:void(0);,DNA-Binding-Sites,,,,
41,Nac DNA-binding-site (BS0-9868),javascript:void(0);,DNA-Binding-Sites,"(3283125, 3283142)",,,
42,REPv259a,REPV259A,Repeat-Regions,"(3598398, 3598426)",+,,
43,IscR DNA-binding-site 42 bases upstream of hyaAp2,TU0-45171,DNA-Binding-Sites,"(1031930, 1031955)",+,hyaABCDEF; hyaABCDEF,TU0-45171; TU00288
44,GcvA DNA-binding-site 44 bases upstream of gcvTp,TU00170,DNA-Binding-Sites,"(3050809, 3050824)",-,gcvTHP,TU00170
45,REP291b,REP291B,Repeat-Regions,"(4027373, 4027406)",-,,
46,GadX DNA-binding-site 11.5 bases downstream of glsAp,TU0-3123,DNA-Binding-Sites,"(511574, 511594)",+,glsA-ybaT,TU0-3123
47,GadW DNA-binding-site 53.5 bases upstream of hdeAp2,TU0-45242,DNA-Binding-Sites,"(3656835, 3656855)",-,hdeAB-yhiD; hdeAB-yhiD,TU0-45242; TU00282
48,REPv222e,REPV222E,Repeat-Regions,"(3150781, 3150809)",-,,
49,CRP-cyclic-AMP DNA-binding transcriptional dual regulator DNA-binding-site 58.5 bases upstream of glpEp,TU401,DNA-Binding-Sites,"(3561897, 3561919)",-,glpEGR; glpD,TU401; TU00031
50,CsgD DNA-binding-site 166.5 bases upstream of csgDp3,TU0-45257,DNA-Binding-Sites,"(1103504, 1103518)",-,csgDEFG; csgDEFG,TU0-45257; TU00392
