*UNIQUE-ID,ACCESSION-1,NAME,SYNONYMS,PRODUCT-NAME,SWISS-PROT-ID,START-BASE,END-BASE,DIRECTION,GENE-TYPE,TU-COLOR,TU,Promoters,Sigma,Regulator_activate,Regulator_inhibit
G6937,b1741,cho,ydjQ,excinuclease Cho,P76213,1823515,1824402,+,P,9.0,['TU0-8267'],"[['PM0-10248', 'PM0-10248']]","['RPOD-MONOMER', None]",[None],['LexA']
G0-10608,b4622,ytcA,,putative lipoprotein YtcA,A5A630,4304128,4304403,-,P,,[],[],[],[None],['LexA']
G7905,b4284,insI3,tra8-3,KpLE2 phage-like element; IS30 transposase,P0CF90,4507466,4508617,-,P,5.0,['TU0-14186'],[[]],[],[None],[None]
EG10880,b2606,rplS,,50S ribosomal subunit protein L19,P0A7K6,2744183,2744530,-,P,5.0,['TU00351'],"[['PM0-7821', 'PM0-7821', 'PM0-7821']]","['RPOD-MONOMER', None, None]",[None],"['DksA-ppGpp, Fnr']"
G7043,b4495,yedN,"b1934,yedM,b1935,ECK1933,b1933","putative type III secreted effector, N-terminal fragment",P76322,2011223,2012351,-,S,7.0,['TU0-13458'],[[]],[],[None],[None]
EG11283,b4583,phnE1,"ECK4097,b4103,b4104",phosphonate/phosphate ABC transporter membrane subunit PhnE1,P0DP69,4322443,4323281,-,P,8.0,['TU00201'],"[['PM00284', 'PM00284']]","['RPOD-MONOMER', None]",['PhoB-Pasp53'],[None]
G8203,b0701,b0701,rhsC,,,733370,733591,+,H,,[],[],[],['PhoB-Pasp53'],[None]
EG11259,b4179,rnr,"vacB,yjeC",RNase R,P21499,4406654,4409095,+,P,3.0,['TU0-8502'],[['PM0-8938']],[None],[None],[None]
G7396,b2666,yqaE,,Pmp3 family protein YqaE,P0AE42,2796870,2797028,-,P,5.0,"['TU0-42608', 'TU0-13709']","[['PM0-10299', 'PM0-10299'], ['PM0-10299', 'PM0-10299']]","[None, None, None, None]","['CpxR-phosphorylated', 'ppGpp, CpxR-phosphorylated']","[None, 'CyaR']"
G6922,b1699,ydiS,,putative electron transfer flavoprotein-quinone oxidoreductase YdiS,P77337,1781395,1782684,+,P,5.0,['TU0-5322'],[[]],[],[None],[None]
G7611,b3097,yqjC,,DUF1090 domain-containing protein YqjC,P42616,3248969,3249337,+,P,10.0,['TU0-13863'],[['PM0-46639']],['EG11355-MONOMER'],[None],[None]
EG10690,b0143,pcnB,,poly(A) polymerase I,P0ABF1,157729,159126,-,P,4.0,"['TU0-45245', 'TU0-36412', 'TU0-8362', 'TU0-8361', 'TU00315']","[['PM0-46545', 'PM0-46545', 'PM0-46545'], ['PM0-36157', 'PM0-36157', 'PM0-36157'], ['PM0-8744'], ['PM0-8743'], ['PM0-2523']]","['RPOS-MONOMER', None, None, 'RPOS-MONOMER', None, None, 'RPOD-MONOMER', 'RPOD-MONOMER', 'RPOD-MONOMER']","[None, None, None, None, None]","['ppGpp, DksA-ppGpp', 'DksA-ppGpp, ppGpp', None, None, None]"
EG11551,b2712,hypF,hydA,carbamoyl--[HypE] ligase,P30131,2835173,2837425,-,P,7.0,"['TU0-14407', 'TU0-14406', 'TU0-14405', 'TU424']","[['PM0-9568', 'PM0-9568'], ['PM0-9568', 'PM0-9567', 'PM0-9567'], ['PM0-9566'], ['PM526', 'PM526', 'PM526']]","['RPOD-MONOMER', None, 'RPOD-MONOMER', 'RPOD-MONOMER', None, 'RPOD-MONOMER', 'RPON-MONOMER', None, None]","[None, None, None, 'FhlA-formate, FlhDC']","['Cra', 'Cra', None, None]"
G0-10541,,insCD1,,IS2 element transposase InsAB',,381351,382579,+,P,9.0,['TU0-12904'],[[]],[],[None],[None]
G7199,b2324,mnmC,"yfcK,trmC",fused tRNA 5-aminomethyl-2-thiouridylate methyltransferase and tRNA 5-aminomethyl-2-thiouridylate synthase,P77182,2441764,2443770,+,P,5.0,['TU0-8823'],[[]],[],[None],[None]
EG10722,b4095,phnM,,RPnTP hydrolase,P16689,4316082,4317218,-,P,8.0,"['TU0-14552', 'TU00201']","[['PM0-9835'], ['PM00284', 'PM00284']]","[None, 'RPOD-MONOMER', None]","[None, 'PhoB-Pasp53']","[None, None]"
G6654,b1316,ycjT,,kojibiose phosphorylase,P77154,1377884,1380151,+,P,11.0,['TU0-13212'],[[]],[],[None],['YcjW']
G0-8870,b4449,sraG,"psrA15,p3,psrO",small regulatory RNA SraG,,3311183,3311398,+,R,2.0,['TU0-8516'],[['PM0-9599']],['RPOD-MONOMER'],[None],[None]
G6327,b0582,insL2,yi81-2,IS186/IS421 transposase,P0CF92,608065,609177,+,P,10.0,['TU0-12990'],[[]],[],[None],[None]
EG10088,b3433,asd,"dap,hom",aspartate-semialdehyde dehydrogenase,P0A9Q9,3573775,3574878,-,P,8.0,['TU0-13935'],[[]],[],['ArgP'],"['GcvB, SgrS']"
G7408,b2690,yqaB,,fructose-1-phosphate phosphatase YqaB,P77475,2816937,2817503,-,P,8.0,['TU0-13715'],[[]],[],[None],[None]
G7346,b2562,yfhL,,putative 4Fe-4S cluster-containing protein YfhL,P52102,2699663,2699923,+,P,8.0,['TU0-13669'],[['PM0-9762']],[None],[None],[None]
EG10061,b4401,arcA,"sfrA,cpxC,dye,fexA,msp,seg",DNA-binding transcriptional dual regulator ArcA-phosphorylated,,4639590,4640306,-,P,11.0,"['TU354', 'TU352', 'TU348', 'TU347', 'TU346', 'TU345', 'TU344']","[['PM435'], ['PM205'], ['PM204'], ['PM202'], ['PM195', 'PM201', 'PM201'], ['PM196'], ['PM195', 'PM201', 'PM195']]","['RPOD-MONOMER', 'RPOD-MONOMER', 'RPOD-MONOMER', 'RPOD-MONOMER', 'RPOD-MONOMER', 'RPOD-MONOMER', None, 'RPOD-MONOMER', 'RPOD-MONOMER', 'RPOD-MONOMER', None]","[None, None, None, None, None, None, 'Fnr']","[None, None, None, None, 'Fnr', None, None]"
G7320,b2512,bamB,yfgL,outer membrane protein assembly factor BamB,P77774,2637474,2638652,-,P,6.0,['TU-8385'],[['PM-8768']],['RPOE-MONOMER'],[None],[None]
G0-8911,,C0664,,,,2835055,2835167,+,H,,[],[],[],[None],[None]
G7759,b3442,yhhZ,,putative endonuclease YhhZ,P46855,3581863,3583041,+,P,4.0,['TU0-13940'],[[]],[],[None],[None]
EG12704,b2956,yggM,,DUF1202 domain-containing protein YggM,P46142,3098558,3099565,-,P,3.0,['TU0-13808'],[[]],[],[None],[None]
EG12144,b0688,pgm,blu,phosphoglucomutase,P36938,713558,715198,+,P,9.0,['TU0-4444'],"[['PM0-4684', 'PM0-4684']]","[None, None]",[None],['HU']
EG12657,b3029,ygiN,,putative quinol monooxygenase YgiN,P0ADU2,3173142,3173456,+,P,7.0,['TU0-13836'],[[]],[],[None],['Nac']
EG10629,b0543,emrE,"eb,mvrC",DLP12 prophage; multidrug/betaine/choline efflux transporter EmrE,P23895,568315,568647,+,P,2.0,['TU0-14417'],[[]],[],[None],[None]
EG10321,b1923,fliC,"H,flaF,hag",flagellar filament structural protein,P04949,2002110,2003606,-,P,11.0,['TU0-1521'],"[['PM0-1681', 'PM0-1681', 'PM0-1681', 'PM0-1681']]","['EG11355-MONOMER', None, None, None]","['GadE, H-NS']",['MatA']
EG11002,b2827,thyA,,thymidylate synthase,P0A884,2964361,2965155,-,P,2.0,"['TU0-42616', 'TU00295']","[['PM0-46368'], ['PM0-46367']]","['RPOD-MONOMER', 'RPOD-MONOMER']","[None, None]","[None, None]"
G6515,b0994,torT,yccH,TorT-TMAO,,1056261,1057289,+,P,7.0,['TU0-8530'],[[]],[],[None],['DNA-binding transcriptional dual regulator IscR']
EG10948,b1479,maeA,sfcA,malate dehydrogenase (oxaloacetate-decarboxylating),P26616,1553972,1555669,-,P,11.0,['TU0-13287'],[[]],[],[None],['FnrS']
EG11176,b3125,garR,yhaE,tartronate semialdehyde reductase,P0ABQ2,3271867,3272751,-,P,10.0,"['TU0-42699', 'TU482']","[['PM0-46414'], ['PM582', 'PM582', 'PM582', 'PM582', 'PM582']]","[None, 'RPOD-MONOMER', None, None, None, None]","[None, 'CdaR, Fnr']","[None, 'DNA-binding transcriptional dual regulator Fur, H-NS']"
EG10960,b2937,speB,,agmatinase,P60651,3082877,3083797,-,P,2.0,"['TU0-6625', 'TU00204']","[['PM00429'], ['PM00288', 'PM00288']]","['RPOS-MONOMER', 'RPOD-MONOMER', None]","[None, None]","[None, 'PurR-hypoxanthine']"
