,genes_name,genes_id,product,locus_tag
0,thrL,EG11277,,b0001
1,thrL,EG11277,thr operon leader peptide,b0001
2,thrA,EG10998,,b0002
3,thrA,EG10998,fused aspartate kinase/homoserine dehydrogenase 1,b0002
4,thrB,EG10999,,b0003
5,thrB,EG10999,homoserine kinase,b0003
6,thrC,EG11000,,b0004
7,thrC,EG11000,threonine synthase,b0004
8,yaaX,G6081,,b0005
9,yaaX,G6081,DUF2502 domain-containing protein YaaX,b0005
10,yaaA,EG10011,,b0006
11,yaaA,EG10011,DNA binding and peroxide stress response protein YaaA,b0006
12,yaaJ,EG11555,,b0007
13,yaaJ,EG11555,putative transporter YaaJ,b0007
14,talB,EG11556,,b0008
15,talB,EG11556,transaldolase B,b0008
16,mog,EG11511,,b0009
17,mog,EG11511,molybdopterin adenylyltransferase,b0009
18,satP,EG11512,,b0010
19,satP,EG11512,acetate/succinate:H(+) symporter,b0010
20,yaaW,G6082,,b0011
21,yaaW,G6082,putative enzyme-specific chaperone YaaW,b0011
22,mbiA,EG11509,,b0012
23,mbiA,EG11509,uncharacterized protein MbiA,b0012
24,yaaI,G8202,,b0013
25,yaaI,G8202,DUF2541 domain-containing protein YaaI,b0013
26,dnaK,EG10241,,b0014
27,dnaK,EG10241,chaperone protein DnaK,b0014
28,dnaJ,EG10240,,b0015
29,dnaJ,EG10240,chaperone protein DnaJ,b0015
30,insL1,G6083,,b0016
31,insL1,G6083,IS186/IS421 family transposase,b0016
32,mokC,EG10373,,b0018
33,mokC,EG10373,regulatory protein MokC,b0018
34,hokC,G0-9563,,b4412
35,hokC,G0-9563,protein HokC,b4412
36,sokC,G0-9581,,b4413
37,sokC,G0-9581,small regulatory RNA antitoxin SokC,b4413
38,nhaA,EG10652,,b0019
39,nhaA,EG10652,Na(+):H(+) antiporter NhaA,b0019
40,nhaR,EG11078,,b0020
41,nhaR,EG11078,DNA-binding transcriptional activator NhaR,b0020
42,insB1,G6085,,b0021
43,insB1,G6085,IS1 family protein InsB,b0021
44,insA1,G6086,,b0022
45,insA1,G6086,IS1 family protein InsA,b0022
46,rpsT,EG10919,,b0023
47,rpsT,EG10919,30S ribosomal subunit protein S20,b0023
48,yaaY,G6087,,b0024
49,yaaY,G6087,DUF2575 domain-containing protein YaaY,b0024
50,ribF,EG11079,,b0025
51,ribF,EG11079,bifunctional riboflavin kinase/FMN adenylyltransferase,b0025
52,ileS,EG10492,,b0026
53,ileS,EG10492,isoleucine--tRNA ligase,b0026
54,lspA,EG10548,,b0027
55,lspA,EG10548,lipoprotein signal peptidase,b0027
56,fkpB,EG11080,,b0028
57,fkpB,EG11080,peptidyl-prolyl cis-trans isomerase FkpB,b0028
58,ispH,EG11081,,b0029
59,ispH,EG11081,4-hydroxy-3-methylbut-2-enyl diphosphate reductase,b0029
60,rihC,EG11082,,b0030
61,rihC,EG11082,ribonucleoside hydrolase RihC,b0030
62,dapB,EG10206,,b0031
63,dapB,EG10206,4-hydroxy-tetrahydrodipicolinate reductase,b0031
64,carA,EG10134,,b0032
65,carA,EG10134,carbamoyl-phosphate synthetase small subunit,b0032
66,carB,EG10135,,b0033
67,carB,EG10135,carbamoyl-phosphate synthetase large subunit,b0033
68,caiF,G6088,,b0034
69,caiF,G6088,DNA-binding transcriptional activator CaiF,b0034
70,caiE,EG12608,,b0035
71,caiE,EG12608,putative transferase CaiE,b0035
72,caiD,EG11557,,b0036
73,caiD,EG11557,crotonobetainyl-CoA hydratase,b0036
74,caiC,EG11558,,b0037
75,caiC,EG11558,carnitine--CoA ligase,b0037
76,caiB,EG11559,,b0038
77,caiB,EG11559,gamma-butyrobetainyl-CoA:carnitine CoA transferase,b0038
78,caiA,EG11560,,b0039
79,caiA,EG11560,crotonobetainyl-CoA reductase,b0039
80,caiT,EG11561,,b0040
81,caiT,EG11561,L-carnitine:gamma-butyrobetaine antiporter,b0040
82,fixA,EG11562,,b0041
83,fixA,EG11562,putative electron transfer flavoprotein FixA,b0041
84,fixB,EG11563,,b0042
85,fixB,EG11563,putative electron transfer flavoprotein FixB,b0042
86,fixC,EG11564,,b0043
87,fixC,EG11564,putative oxidoreductase FixC,b0043
88,fixX,EG11565,,b0044
89,fixX,EG11565,putative ferredoxin FixX,b0044
90,yaaU,EG11566,,b0045
91,yaaU,EG11566,putative transporter YaaU,b0045
92,kefF,EG11568,,b0046
93,kefF,EG11568,regulator of KefC-mediated potassium transport and quinone oxidoreductase,b0046
94,kefC,EG10521,,b0047
95,kefC,EG10521,K(+) : H(+) antiporter KefC,b0047
96,folA,EG10326,,b0048
97,folA,EG10326,dihydrofolate reductase,b0048
98,apaH,EG10048,,b0049
99,apaH,EG10048,diadenosine tetraphosphatase,b0049
100,apaG,EG10047,,b0050
101,apaG,EG10047,DUF525 domain-containing protein ApaG,b0050
102,rsmA,EG10523,,b0051
103,rsmA,EG10523,"16S rRNA m(6)2A1518,m(6)2A1519 dimethyltransferase",b0051
104,pdxA,EG10691,,b0052
105,pdxA,EG10691,4-hydroxythreonine-4-phosphate dehydrogenase,b0052
106,surA,EG10985,,b0053
107,surA,EG10985,chaperone SurA,b0053
108,lptD,EG11569,,b0054
109,lptD,EG11569,lipopolysaccharide assembly protein LptD,b0054
110,djlA,EG11570,,b0055
111,djlA,EG11570,co-chaperone protein DjlA,b0055
112,yabP,EG12610,,b0056
113,yabP,EG12610,putative uncharacterized protein YabP,b0056
114,yabQ,EG12611,,b0057
115,yabQ,EG12611,protein YabQ,b0057
116,rluA,EG12609,,b0058
117,rluA,EG12609,23S rRNA pseudouridine(746) and tRNA pseudouridine(32) synthase,b0058
118,rapA,EG11083,,b0059
119,rapA,EG11083,RNA polymerase-binding ATPase and RNAP recycling factor,b0059
120,polB,EG10747,,b0060
121,polB,EG10747,DNA polymerase II,b0060
122,araD,EG10055,,b0061
123,araD,EG10055,L-ribulose-5-phosphate 4-epimerase AraD,b0061
124,araA,EG10052,,b0062
125,araA,EG10052,L-arabinose isomerase,b0062
126,araB,EG10053,,b0063
127,araB,EG10053,ribulokinase,b0063
128,araC,EG10054,,b0064
129,araC,EG10054,DNA-binding transcriptional dual regulator AraC,b0064
130,yabI,EG11571,,b0065
131,yabI,EG11571,DedA family protein YabI,b0065
132,thiQ,EG11572,,b0066
133,thiQ,EG11572,thiamine ABC transporter ATP binding subunit,b0066
134,thiP,EG11573,,b0067
135,thiP,EG11573,thiamine ABC transporter membrane subunit,b0067
136,thiB,EG11574,,b0068
137,thiB,EG11574,thiamine ABC transporter periplasmic binding protein,b0068
138,sroA,G0-9381,,b4762
139,sroA,G0-9381,small RNA SroA,b4762
140,sgrR,EG12094,,b0069
141,sgrR,EG12094,DNA-binding transcriptional dual regulator SgrR,b0069
142,sgrS,G0-9941,,b4577
143,sgrS,G0-9941,small regulatory RNA SgrS,b4577
144,sgrT,G0-10617,,b4662
145,sgrT,G0-10617,PtsG glucose transporter inhibitor,b4662
146,setA,EG11754,,b0070
147,setA,EG11754,sugar exporter SetA,b0070
148,leuD,EG11575,,b0071
149,leuD,EG11575,3-isopropylmalate dehydratase subunit LeuD,b0071
150,leuC,EG11576,,b0072
151,leuC,EG11576,3-isopropylmalate dehydratase subunit LeuC,b0072
152,leuB,EG11577,,b0073
153,leuB,EG11577,3-isopropylmalate dehydrogenase,b0073
154,leuA,EG11226,,b0074
155,leuA,EG11226,2-isopropylmalate synthase,b0074
156,leuL,EG11280,,b0075
157,leuL,EG11280,leu operon leader peptide,b0075
158,leuO,EG10531,,b0076
159,leuO,EG10531,DNA-binding transcriptional dual regulator LeuO,b0076
160,yabR,G0-16721,,b4726
